Player,Birth,Position,Market Value,Contract Expired,Joined,Appearance,Goals,Assists,Team Rank,Transfer
Sead Kolasinac,"Jun 20, 1993 (28)",Defender - Centre-Back,€6.50m,"Jun 30, 2025","Jul 6, 2023",43,1,1,4,0
David Luiz,"Apr 22, 1987 (34)",Defender - Centre-Back,€4.00m,"Jan 20, 2025","Sep 1, 2021",36,3,0,20,1
Kieran Tierney,"Jun 5, 1997 (24)",Defender - Left-Back,€32.00m,"Jun 30, 2025","Aug 8, 2019",27,0,2,2,0
Joel López,"Mar 31, 2002 (19)",Defender - Left-Back,€200k,"Jun 30 , 2027","Jul 20, 2023",33,0,0,20,0
Héctor Bellerín,"Mar 19, 1995 (26)",Defender - Right-Back,€25.00m,"Jun 30, 2028","Jul 18, 2023",30,0,1,7,0
Ainsley Maitland-Niles,"Aug 29, 1997 (23)",Defender - Right-Back,€16.00m,"Jun 30, 2027","Aug 7, 2023",29,2,4,6,0
Cédric Soares,"Aug 31, 1991 (29)",Defender - Right-Back,€6.00m,"Jun 30, 2024","Jul 1, 2020",6,0,0,2,1
Thomas Partey,"Jun 13, 1993 (28)",Midfield - Defensive Midfield,€40.00m,"Jun 30, 2025","Oct 5, 2020",16,0,0,2,0
Granit Xhaka,"Sep 27, 1992 (28)",Midfield - Defensive Midfield,€22.00m,"Jun 30, 2028","Jul 6, 2023",50,4,2,1,0
Mohamed Elneny,"Jul 11, 1992 (28)",Midfield - Defensive Midfield,€10.00m,"Jun 30, 2024","Jan 14, 2016",6,0,0,2,1
Dani Ceballos,"Aug 7, 1996 (24)",Midfield - Central Midfield,€27.00m,"Jun 30, 2027","Jul 14, 2017",28,1,2,1,0
Joe Willock,"Aug 20, 1999 (21)",Midfield - Central Midfield,€16.00m,"Jun 30, 2027","Aug 13, 2021",14,2,0,7,0
Miguel Azeez,"Sep 20, 2002 (18)",Midfield - Central Midfield,€500k,"Aug 31, 2024","Feb 1, 2024",17,1,1,20,1
Ben Cottrell,"Oct 31, 2001 (19)",Midfield - Central Midfield,€200k,"Oct 30, 2024","Aug 1, 2023",12,0,0,20,1
James Olayinka,"Oct 5, 2000 (20)",Midfield - Central Midfield,€150k,"Jun 30, 2024","Sep 1, 2022",15,0,0,20,1
Martin Ødegaard,"Dec 17, 1998 (22)",Midfield - Attacking Midfield,€40.00m,"Jun 30, 2028","Aug 20, 2021",48,11,11,2,0
Emile Smith Rowe,"Jul 28, 2000 (20)",Midfield - Attacking Midfield,€18.00m,"Jun 30, 2026","Aug 1, 2020",19,0,1,2,1
Gabriel Martinelli,"Jun 18, 2001 (20)",Attack - Left Winger,€22.00m,"Jun 30, 2027","Jul 2, 2019",44,8,5,2,0
Willian,"Aug 9, 1988 (32)",Attack - Left Winger,€9.00m,"Sep 2, 2024","Sep 1,2022",37,5,2,13,1
Bukayo Saka,"Sep 5, 2001 (19)",Attack - Right Winger,€65.00m,"Jun 30, 2027","Jul 1, 2019",47,20,14,2,0
Nicolas Pépé,"May 29, 1995 (26)",Attack - Right Winger,€35.00m,"Aug 4, 2024","Sep 8, 2023",23,6,3,8,0
Reiss Nelson,"Dec 10, 1999 (21)",Attack - Right Winger,€9.00m,"Jun 30, 2025","Jul 1, 2019",24,1,3,2,0
Alexandre Lacazette,"May 28, 1991 (30)",Attack - Centre-Forward,€28.00m,"Jun 30, 2025","Jul 1, 2022",35,22,4,6,0
Pierre-Emerick Aubameyang,"Jun 18, 1989 (32)",Attack - Centre-Forward,€25.00m,"Jul 18, 2024","Jul 21, 2023",51,30,11,8,1
Eddie Nketiah,"May 30, 1999 (22)",Attack - Centre-Forward,€16.00m,"Jun 30, 2027","Jan 1, 2019",37,6,3,2,1
Folarin Balogun,"Jul 3, 2001 (19)",Attack - Centre-Forward,€4.00m,"Jun 30, 2028","Aug 30, 2023",32,8,5,2,0
